Isolate.ID,DirTax_Class,Cluster.x,TotalIso.x,Inhibitory.x,NonInhibitory.x,Null,Contam,prop.inhib,prop.noninhib,prop.na,prop.contam,Closest_Cluster,Inhibition,DirTax_Phylum,Cluster.y,TotalIso.y,Inhibitory.y,NonInhibitory.y,Reason
Mada.2529,Gammaproteobacteria,287,2,1,1,0,0,50,50,0,0,0.009594244,Inhibitory,Proteobacteria,287,,2,1,
Mada.2644,Gammaproteobacteria,241,4,3,1,0,0,75,25,0,0,0.039573998201307706,Inhibitory,Proteobacteria,241,,4,1,
Mada.2652,Gammaproteobacteria,275,3,1,1,1,0,33.33333333333333,33.33333333333333,33.33333333333333,0,0.009594244,Inhibitory,Proteobacteria,275,,NA,NA,
Mada.2654,Gammaproteobacteria,242,5,3,1,0,0,60,20,0,0,0.039573998201307706,Inhibitory,Proteobacteria,242,,4,1,
Mada.3063,Gammaproteobacteria,994,2,1,1,0,0,50,50,0,0,0.41382536567807726,Inhibitory,Proteobacteria,994,,2,1,
Mada.3159,Gammaproteobacteria,82,2,1,1,0,0,50,50,0,0,0.009594244,Inhibitory,Proteobacteria,82,,2,1,
Mada.3166,Gammaproteobacteria,123,7,4,3,0,0,57.14285714285714,42.857142857142854,0,0,0.039573998201307706,Inhibitory,Proteobacteria,123,,5,1,
Mada.3354,Gammaproteobacteria,99,9,8,1,0,0,88.88888888888889,11.11111111111111,0,0,0.009594244,Inhibitory,Proteobacteria,99,,9,1,
Mada.3464,Gammaproteobacteria,78,9,6,2,1,0,66.66666666666666,22.22222222222222,11.11111111111111,0,0.009594244,Inhibitory,Proteobacteria,78,,7,1,
Mada.3473,Gammaproteobacteria,127,6,5,1,0,0,83.33333333333334,16.666666666666664,0,0,0.080138105,Inhibitory,Proteobacteria,127,,NA,NA,
Mada.3933,Gammaproteobacteria,148,3,1,1,1,0,33.33333333333333,33.33333333333333,33.33333333333333,0,0.009594244,NA,Proteobacteria,148,,NA,NA,
Mada.637,Gammaproteobacteria,802,2,1,1,0,0,50,50,0,0,0.039573998201307706,Inhibitory,Proteobacteria,802,,2,1,
Mada.3684,Sphingobacteriia,2,8,5,2,1,0,62.5,25,12.5,0,0.048890681,Inhibitory,Bacteroidetes,2,,NA,NA,
